Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
neon-green-goniopora-coral-euphyllia-lps,Neon Green Goniopora Coral,Title,Default Title,,,,,C1147,,,5300  S Atlantic Ave,,0,0,0,1,1,
pink-stylophora-coral-sps,Pink Stylophora Coral,Title,Default Title,,,,,C1139,,,5300  S Atlantic Ave,,0,0,0,1,1,
wwc-electric-daisy-stylocoenilla-coral-sps,WWC Electric Daisy Stylocoenilla Coral,Title,Default Title,,,,,C1137,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-twisted-metal-stylocoenilla-coral-sps,ECC Twisted Metal Stylocoenilla Coral,Title,Default Title,,,,,C1138,,,5300  S Atlantic Ave,,0,0,0,1,1,
yellow-white-daisy-alveopora-coral-goniopora-lps,Yellow white Daisy Alveopora Coral,Title,Default Title,,,,,C1140,,,5300  S Atlantic Ave,,0,0,0,6,6,
jf-day-glo-favities-coral-lps,JF Day Glo Favites Coral,Title,Default Title,,,,,C1144,,,5300  S Atlantic Ave,,0,0,0,1,1,
ecc-ring-of-fire-favites-coral-lps,ECC Ring of Fire Favites Coral,Title,Default Title,,,,,C1144,,,5300  S Atlantic Ave,,0,0,0,1,1,
multi-color-fungia-coral-lps,Multi Color Fungia Coral,Title,Default Title,,,,,C1142,,,5300  S Atlantic Ave,,0,0,0,1,1,
gold-galaxea-coral-lps,Gold Galaxea Coral,Title,Default Title,,,,,C1145,,,5300  S Atlantic Ave,,0,0,0,1,1,
fiji-yellow-toadstool-soft-coral,Fiji Yellow Toadstool,Title,Default Title,,,,,C1146,,,5300  S Atlantic Ave,,0,0,0,2,2,
icey-hot-goniopora-coral-euphyllia-lps,Icey Hot Goniopora Coral,Title,Default Title,,,,,C1148,,,5300  S Atlantic Ave,,0,0,0,1,1,
